 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.05E-01   2.35E-03   2.52E-06   5.20E-10   1.25E-11   3.93E-12
   Max.:          2.93E+02   6.36E+00   8.94E-03   5.31E-07   2.57E-08   6.97E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
     1       2    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     2       3    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     3       4    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     4       5    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     5       6    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     6       7    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     7       8    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     8       9    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
     9      10    1.76E+01   5.09E-01   4.49E-03   1.04E-07   6.25E-09   3.04E-09
    10      11    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    11      12    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    12      13    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    13      14    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    14      15    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    15      16    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    16      17    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    17      18    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    18      19    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    19      20    5.80E+01   1.37E+00   3.12E-03   3.14E-07   1.86E-08   3.23E-09
    20      21    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
    21      22    2.15E+02   5.15E+00   3.47E-03   5.31E-07   2.09E-08   2.88E-09
