 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.69E-06   2.81E-12   2.81E-12   1.80E-09   2.58E-12   1.29E-12
   Max.:          4.72E+03   1.12E+02   1.30E-01   1.10E-05   4.52E-07   9.85E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  16.7    16.8    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.8    16.9    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  16.9    17.0    2.13E+00   5.40E-04   1.21E-06   1.80E-09   2.58E-12   1.29E-12
  17.0    17.1    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.1    17.2    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.2    17.3    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.3    17.4    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.4    17.5    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.5    17.6    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.6    17.7    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.7    17.8    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.8    17.9    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  17.9    18.0    1.69E-06   2.81E-12   2.81E-12   1.00E-99   1.00E-99   1.00E-99
  18.0    18.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.1    18.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.2    18.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.3    18.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.4    18.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.5    18.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.6    18.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.7    18.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.8    18.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.9    19.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.0    19.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.1    19.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.2    19.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.3    19.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.4    19.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.5    19.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.6    19.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.7    19.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.8    19.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.9    20.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.0    20.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.1    20.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.2    20.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.3    20.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.4    20.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
